iteration,particle_index,f1_distance,f2_vehicles
0,0,82.01034979270949,2
0,1,83.04239382420164,2
0,2,82.01034979270948,2
0,3,88.81391186162764,2
0,4,84.60095636325916,2
0,5,76.74640729926402,3
0,6,82.91000592900915,2
0,7,71.39981110044172,2
0,8,82.91000592900916,2
0,9,93.39369927858559,2
0,10,85.4136576703494,2
0,11,85.4136576703494,2
0,12,82.01034979270949,2
0,13,71.39981110044172,2
0,14,76.87325264195536,3
0,15,76.87325264195536,3
0,16,83.01160259797084,3
0,17,71.39981110044172,2
0,18,93.39369927858559,2
0,19,83.01160259797084,3
0,20,84.60095636325916,2
0,21,83.04239382420164,2
0,22,93.39369927858559,2
0,23,71.39981110044172,2
0,24,93.39369927858559,2
0,25,71.39981110044172,2
0,26,73.2445564390241,2
0,27,85.41365767034941,2
0,28,85.4136576703494,2
0,29,76.74640729926402,3
0,30,82.01034979270949,2
0,31,82.01034979270949,2
0,32,83.04239382420164,2
0,33,82.91000592900915,2
0,34,85.41365767034938,2
0,35,83.04239382420164,2
0,36,88.81391186162764,2
0,37,83.04239382420164,2
0,38,88.81391186162763,2
0,39,82.91000592900916,2
0,40,83.04239382420164,2
0,41,83.04239382420164,2
0,42,83.01160259797084,3
0,43,83.04239382420164,2
0,44,71.39981110044172,2
0,45,71.39981110044172,2
0,46,73.2445564390241,2
0,47,83.04239382420162,2
0,48,85.4136576703494,2
0,49,82.01034979270949,2
1,0,82.01034979270949,2
1,1,84.60095636325916,2
1,2,85.41365767034941,2
1,3,71.39981110044172,2
1,4,73.2445564390241,2
1,5,73.2445564390241,2
1,6,88.81391186162764,2
1,7,73.2445564390241,2
1,8,82.01034979270949,2
1,9,84.60095636325916,2
1,10,88.81391186162764,2
1,11,82.91000592900916,2
1,12,84.60095636325917,2
1,13,71.39981110044172,2
1,14,71.39981110044172,2
1,15,71.39981110044172,2
1,16,85.4136576703494,2
1,17,71.39981110044172,2
1,18,82.01034979270949,2
1,19,71.39981110044172,2
1,20,93.39369927858557,2
1,21,82.91000592900915,2
1,22,71.39981110044172,2
1,23,73.2445564390241,2
1,24,71.39981110044172,2
1,25,83.04239382420164,2
1,26,83.04239382420162,2
1,27,73.2445564390241,2
1,28,84.60095636325916,2
1,29,71.39981110044172,2
1,30,71.39981110044172,2
1,31,73.2445564390241,2
1,32,71.39981110044172,2
1,33,83.01160259797084,3
1,34,83.04239382420164,2
1,35,83.04239382420164,2
1,36,71.39981110044172,2
1,37,84.60095636325917,2
1,38,83.04239382420164,2
1,39,73.2445564390241,2
1,40,73.2445564390241,2
1,41,82.91000592900915,2
1,42,71.39981110044172,2
1,43,71.39981110044172,2
1,44,71.39981110044172,2
1,45,82.01034979270949,2
1,46,71.39981110044172,2
1,47,71.39981110044172,2
1,48,71.39981110044172,2
1,49,82.91000592900915,2
2,0,82.01034979270949,2
2,1,73.2445564390241,2
2,2,84.60095636325916,2
2,3,71.39981110044172,2
2,4,85.41365767034941,2
2,5,83.04239382420164,2
2,6,82.91000592900915,2
2,7,71.39981110044172,2
2,8,83.04239382420164,2
2,9,73.2445564390241,2
2,10,71.39981110044172,2
2,11,73.2445564390241,2
2,12,82.01034979270949,2
2,13,88.81391186162764,2
2,14,73.2445564390241,2
2,15,73.2445564390241,2
2,16,88.81391186162764,2
2,17,83.04239382420164,2
2,18,71.39981110044172,2
2,19,71.39981110044172,2
2,20,71.39981110044172,2
2,21,82.91000592900915,2
2,22,73.2445564390241,2
2,23,82.91000592900916,2
2,24,71.39981110044172,2
2,25,82.01034979270949,2
2,26,82.01034979270949,2
2,27,82.01034979270949,2
