iteration,archive_index,f1_distance,f2_vehicles
0,0,71.39981110044172,2
0,1,71.39981110044172,2
0,2,71.39981110044172,2
0,3,71.39981110044172,2
0,4,71.39981110044172,2
0,5,71.39981110044172,2
0,6,71.39981110044172,2
1,0,71.39981110044172,2
1,1,71.39981110044172,2
1,2,71.39981110044172,2
1,3,71.39981110044172,2
1,4,71.39981110044172,2
1,5,71.39981110044172,2
1,6,71.39981110044172,2
1,7,71.39981110044172,2
1,8,71.39981110044172,2
1,9,71.39981110044172,2
1,10,71.39981110044172,2
1,11,71.39981110044172,2
1,12,71.39981110044172,2
1,13,71.39981110044172,2
1,14,71.39981110044172,2
1,15,71.39981110044172,2
1,16,71.39981110044172,2
1,17,71.39981110044172,2
1,18,71.39981110044172,2
1,19,71.39981110044172,2
1,20,71.39981110044172,2
1,21,71.39981110044172,2
1,22,71.39981110044172,2
1,23,71.39981110044172,2
1,24,71.39981110044172,2
2,0,71.39981110044172,2
2,1,71.39981110044172,2
2,2,71.39981110044172,2
2,3,71.39981110044172,2
2,4,71.39981110044172,2
2,5,71.39981110044172,2
2,6,71.39981110044172,2
2,7,71.39981110044172,2
2,8,71.39981110044172,2
2,9,71.39981110044172,2
2,10,71.39981110044172,2
2,11,71.39981110044172,2
2,12,71.39981110044172,2
2,13,71.39981110044172,2
2,14,71.39981110044172,2
2,15,71.39981110044172,2
2,16,71.39981110044172,2
2,17,71.39981110044172,2
2,18,71.39981110044172,2
2,19,71.39981110044172,2
2,20,71.39981110044172,2
2,21,71.39981110044172,2
2,22,71.39981110044172,2
2,23,71.39981110044172,2
2,24,71.39981110044172,2
2,25,71.39981110044172,2
2,26,71.39981110044172,2
2,27,71.39981110044172,2
2,28,71.39981110044172,2
2,29,71.39981110044172,2
2,30,71.39981110044172,2
2,31,71.39981110044172,2
2,32,71.39981110044172,2
2,33,71.39981110044172,2
2,34,71.39981110044172,2
2,35,71.39981110044172,2
2,36,71.39981110044172,2
2,37,71.39981110044172,2
2,38,71.39981110044172,2
2,39,71.39981110044172,2
2,40,71.39981110044172,2
2,41,71.39981110044172,2
2,42,71.39981110044172,2
2,43,71.39981110044172,2
2,44,71.39981110044172,2
3,0,71.39981110044172,2
3,1,71.39981110044172,2
3,2,71.39981110044172,2
3,3,71.39981110044172,2
3,4,71.39981110044172,2
3,5,71.39981110044172,2
3,6,71.39981110044172,2
3,7,71.39981110044172,2
3,8,71.39981110044172,2
3,9,71.39981110044172,2
3,10,71.39981110044172,2
3,11,71.39981110044172,2
3,12,71.39981110044172,2
3,13,71.39981110044172,2
3,14,71.39981110044172,2
3,15,71.39981110044172,2
3,16,71.39981110044172,2
3,17,71.39981110044172,2
3,18,71.39981110044172,2
3,19,71.39981110044172,2
3,20,71.39981110044172,2
3,21,71.39981110044172,2
3,22,71.39981110044172,2
3,23,71.39981110044172,2
3,24,71.39981110044172,2
3,25,71.39981110044172,2
3,26,71.39981110044172,2
3,27,71.39981110044172,2
3,28,71.39981110044172,2
3,29,71.39981110044172,2
3,30,71.39981110044172,2
3,31,71.39981110044172,2
3,32,71.39981110044172,2
3,33,71.39981110044172,2
3,34,71.39981110044172,2
3,35,71.39981110044172,2
3,36,71.39981110044172,2
3,37,71.39981110044172,2
3,38,71.39981110044172,2
3,39,71.39981110044172,2
3,40,71.39981110044172,2
3,41,71.39981110044172,2
3,42,71.39981110044172,2
3,43,71.39981110044172,2
3,44,71.39981110044172,2
3,45,71.39981110044172,2
3,46,71.39981110044172,2
3,47,71.39981110044172,2
3,48,71.39981110044172,2
3,49,71.39981110044172,2
