instance,dod,edod_target,edod_realised,seed,n_edges_blocked,n_triggered_edges,enabled_stages,wall_time_total_s,reroute_time_total_s,reroute_time_s1_s,reroute_time_s2_s,reroute_time_s3_s,reroute_avg_s1_s,reroute_avg_s2_s,reroute_avg_s3_s,reroute_avg_total_s,cost_static,cost_dynamic,cost_degradation_pct,wasted_distance,total_execution_time_min,reroute_count,reroutes_s1,reroutes_s2,reroutes_s3,utilisation_s1_pct,utilisation_s2_pct,utilisation_s3_pct,unserved_count,unserved_rate_pct,total_customers,unserved_stage3_fallback,capacity_violations,capacity_excess_pct,duration_violations,duration_excess_pct,fully_feasible,feasible_hard,feasible_soft,operation_verdict
p01,0.1,0.25,0.3986,42,3,1,"[1, 2, 3]",0.0185,0.001415,0.0,0.0,0.001396,0.0,0.0,0.001396,0.001415,611.4344770052209,671.1587931174364,9.76790128105674,0.0,119.91137168539015,1,0,0,1,0.0,0.0,100.0,0,0.0,50,0,0,0.0,0,0.0,True,True,True,UNKNOWN
p01,0.1,0.25,0.0922,153,3,3,"[1, 2, 3]",0.0228,0.00523,0.000266,0.001677,0.003287,0.000266,0.001677,0.003287,0.001743,611.4344770052209,655.3178092468032,7.177111185571509,0.0,93.99748942203257,3,1,1,1,33.33,33.33,33.33,0,0.0,50,0,0,0.0,0,0.0,True,True,True,UNKNOWN
p01,0.1,0.25,0.2392,264,3,3,"[1, 2, 3]",0.0183,0.000914,0.000297,0.000617,0.0,0.000149,0.000617,0.0,0.000305,611.4344770052209,627.5224935734102,2.631192249247661,5.1092611342030025,81.39748942203258,3,2,1,0,66.67,33.33,0.0,0,0.0,50,0,0,0.0,0,0.0,True,True,True,UNKNOWN
p01,0.1,0.25,0.2142,375,3,2,"[1, 2, 3]",0.0181,0.001583,0.000165,0.001408,0.0,0.000165,0.001408,0.0,0.000792,611.4344770052209,633.0063121438894,3.528069801416249,0.0,84.28567562146752,2,1,1,0,50.0,50.0,0.0,0,0.0,50,0,0,0.0,0,0.0,True,True,True,UNKNOWN
p01,0.1,0.25,0.2736,486,3,1,"[1, 2, 3]",0.0253,0.00101,0.0,0.00099,0.0,0.0,0.00099,0.0,0.00101,611.4344770052209,617.2946207223426,0.9584254629906565,9.585728421269469,95.49748942203257,1,0,1,0,0.0,100.0,0.0,0,0.0,50,0,0,0.0,0,0.0,True,True,True,UNKNOWN
p01,0.1,0.5,0.6831,42,3,0,"[1, 2, 3]",0.0151,2.5e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,611.4344770052209,611.4344770052209,0.0,0.0,81.39748942203258,0,0,0,0,0.0,0.0,0.0,0,0.0,50,0,0,0.0,0,0.0,True,True,True,UNKNOWN
p01,0.1,0.5,0.1911,153,3,3,"[1, 2, 3]",0.0232,0.004869,0.000833,0.004036,0.0,0.000833,0.002018,0.0,0.001623,611.4344770052209,644.974399439877,5.4854483507265,7.76038761416568,94.36564700593068,3,1,2,0,33.33,66.67,0.0,0,0.0,50,0,0,0.0,0,0.0,True,True,True,UNKNOWN
p01,0.1,0.5,0.5656,264,3,1,"[1, 2, 3]",0.0238,0.002991,0.0,0.0,0.002958,0.0,0.0,0.002958,0.002991,611.4344770052209,666.269367504339,8.968236591383763,14.611407948987832,138.74106607297364,1,0,0,1,0.0,0.0,100.0,0,0.0,50,0,1,26.25,0,0.0,False,True,False,UNKNOWN
p01,0.1,0.5,0.3658,375,3,0,"[1, 2, 3]",0.0188,7.7e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,611.4344770052209,611.4344770052209,0.0,0.0,81.39748942203258,0,0,0,0,0.0,0.0,0.0,0,0.0,50,0,0,0.0,0,0.0,True,True,True,UNKNOWN
p01,0.1,0.5,0.4769,486,3,0,"[1, 2, 3]",0.0171,4.9e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,611.4344770052209,611.4344770052209,0.0,0.0,81.39748942203258,0,0,0,0,0.0,0.0,0.0,0,0.0,50,0,0,0.0,0,0.0,True,True,True,UNKNOWN
p01,0.1,0.75,0.9167,42,3,0,"[1, 2, 3]",0.0175,5.1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,611.4344770052209,611.4344770052209,0.0,0.0,81.39748942203258,0,0,0,0,0.0,0.0,0.0,0,0.0,50,0,0,0.0,0,0.0,True,True,True,UNKNOWN
p01,0.1,0.75,0.5064,153,3,1,"[1, 2, 3]",0.0229,0.00546,0.0,0.0,0.00541,0.0,0.0,0.00541,0.00546,611.4344770052209,657.2453914629697,7.4923669142977785,9.954139139299983,107.70954342201007,1,0,0,1,0.0,0.0,100.0,0,0.0,50,0,0,0.0,0,0.0,True,True,True,UNKNOWN
p01,0.1,0.75,0.8003,264,3,0,"[1, 2, 3]",0.0166,6e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,611.4344770052209,611.4344770052209,0.0,0.0,81.39748942203258,0,0,0,0,0.0,0.0,0.0,0,0.0,50,0,0,0.0,0,0.0,True,True,True,UNKNOWN
p01,0.1,0.75,0.6153,375,3,0,"[1, 2, 3]",0.0145,7e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,611.4344770052209,611.4344770052209,0.0,0.0,81.39748942203258,0,0,0,0,0.0,0.0,0.0,0,0.0,50,0,0,0.0,0,0.0,True,True,True,UNKNOWN
p01,0.1,0.75,0.7664,486,3,0,"[1, 2, 3]",0.0379,6.1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,611.4344770052209,611.4344770052209,0.0,0.0,81.39748942203258,0,0,0,0,0.0,0.0,0.0,0,0.0,50,0,0,0.0,0,0.0,True,True,True,UNKNOWN
p01,0.2,0.25,0.3256,42,7,2,"[1, 2, 3]",0.0256,0.009063,0.0,0.0,0.008941,0.0,0.0,0.004471,0.004532,611.4344770052209,716.3510340367931,17.159084248151803,0.0,119.91137168539015,2,0,0,2,0.0,0.0,100.0,0,0.0,50,0,0,0.0,0,0.0,True,True,True,UNKNOWN
p01,0.2,0.25,0.081,153,7,7,"[1, 2, 3]",0.045,0.022929,0.001776,0.008484,0.01267,0.000592,0.002828,0.01267,0.003276,611.4344770052209,673.8446090963205,10.207166006860081,15.943145750507622,100.99191713321936,7,3,3,1,42.86,42.86,14.29,0,0.0,50,0,0,0.0,0,0.0,True,True,True,UNKNOWN
p01,0.2,0.25,0.2895,264,7,4,"[1, 2, 3]",0.0278,0.011706,0.000907,0.001548,0.009202,0.000453,0.001548,0.009202,0.002926,611.4344770052209,650.4975125488421,6.388752517677819,17.260230141008805,81.39748942203258,4,2,1,1,50.0,25.0,25.0,0,0.0,50,0,0,0.0,0,0.0,True,True,True,UNKNOWN
p01,0.2,0.25,0.2775,375,7,3,"[1, 2, 3]",0.0226,0.004532,0.000445,0.003991,0.0,0.000445,0.001996,0.0,0.001511,611.4344770052209,638.6217325687885,4.446470813476143,9.71199250936494,84.28567562146752,3,1,2,0,33.33,66.67,0.0,0,0.0,50,0,0,0.0,0,0.0,True,True,True,UNKNOWN
p01,0.2,0.25,0.3888,486,7,1,"[1, 2, 3]",0.0216,0.002805,0.0,0.002664,0.0,0.0,0.002664,0.0,0.002805,611.4344770052209,617.2946207223426,0.9584254629906565,9.585728421269469,95.49748942203257,1,0,1,0,0.0,100.0,0.0,0,0.0,50,0,0,0.0,0,0.0,True,True,True,UNKNOWN
p01,0.2,0.5,0.7152,42,7,0,"[1, 2, 3]",0.0198,0.000116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,611.4344770052209,611.4344770052209,0.0,0.0,81.39748942203258,0,0,0,0,0.0,0.0,0.0,0,0.0,50,0,0,0.0,0,0.0,True,True,True,UNKNOWN
p01,0.2,0.5,0.1963,153,7,6,"[1, 2, 3]",0.0359,0.018101,0.001264,0.006049,0.01074,0.000632,0.002016,0.01074,0.003017,611.4344770052209,682.305671403996,11.590971242887573,7.975499635266072,104.52862900156097,6,2,3,1,33.33,50.0,16.67,0,0.0,50,0,0,0.0,0,0.0,True,True,True,UNKNOWN
p01,0.2,0.5,0.5518,264,7,1,"[1, 2, 3]",0.0322,0.003456,0.0,0.0,0.003346,0.0,0.0,0.003346,0.003456,611.4344770052209,666.269367504339,8.968236591383763,14.611407948987832,138.74106607297364,1,0,0,1,0.0,0.0,100.0,0,0.0,50,0,1,26.25,0,0.0,False,True,False,UNKNOWN
p01,0.2,0.5,0.3342,375,7,2,"[1, 2, 3]",0.0192,0.000924,0.000824,0.0,0.0,0.000412,0.0,0.0,0.000462,611.4344770052209,631.3778986407415,3.261743062511395,0.0,121.94091105755315,2,2,0,0,100.0,0.0,0.0,0,0.0,50,0,0,0.0,0,0.0,True,True,True,UNKNOWN
p01,0.2,0.5,0.6489,486,7,0,"[1, 2, 3]",0.0168,0.000103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,611.4344770052209,611.4344770052209,0.0,0.0,81.39748942203258,0,0,0,0,0.0,0.0,0.0,0,0.0,50,0,0,0.0,0,0.0,True,True,True,UNKNOWN
p01,0.2,0.75,0.9527,42,7,0,"[1, 2, 3]",0.0192,0.000116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,611.4344770052209,611.4344770052209,0.0,0.0,81.39748942203258,0,0,0,0,0.0,0.0,0.0,0,0.0,50,0,0,0.0,0,0.0,True,True,True,UNKNOWN
